SLURM NODE: kn055
[I 2026-02-23 04:49:56,738] A new study created in RDB with name: R8-Sliding_windows
[I 2026-02-25 22:34:15,469] Trial 68 finished with value: 0.9474842945055755 and parameters: {'batch_size': 64, 'window_size': 5, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 62 with value: 0.9650002446614103.
[I 2026-02-25 23:18:27,082] Trial 69 finished with value: 0.9492683594058517 and parameters: {'batch_size': 64, 'window_size': 5, 'attention_heads': 2, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 62 with value: 0.9650002446614103.
[I 2026-02-25 23:58:17,228] Trial 70 finished with value: 0.9427765625369153 and parameters: {'batch_size': 64, 'window_size': 3, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 62 with value: 0.9650002446614103.
[I 2026-02-26 00:47:46,081] Trial 71 finished with value: 0.957411366502201 and parameters: {'batch_size': 64, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 62 with value: 0.9650002446614103.
[I 2026-02-26 01:36:32,031] Trial 72 finished with value: 0.9567505362917623 and parameters: {'batch_size': 64, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 0.0001}. Best is trial 62 with value: 0.9650002446614103.
[I 2026-02-26 02:17:38,671] Trial 73 finished with value: 0.9424489678479988 and parameters: {'batch_size': 64, 'window_size': 5, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 62 with value: 0.9650002446614103.
[I 2026-02-26 02:59:35,309] Trial 74 finished with value: 0.9513350136524865 and parameters: {'batch_size': 64, 'window_size': 5, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 62 with value: 0.9650002446614103.
[I 2026-02-26 03:48:55,069] Trial 75 finished with value: 0.9497867764268524 and parameters: {'batch_size': 64, 'window_size': 3, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-06}. Best is trial 62 with value: 0.9650002446614103.
[I 2026-02-26 04:49:27,900] Trial 76 finished with value: 0.9525520048579753 and parameters: {'batch_size': 32, 'window_size': 5, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 62 with value: 0.9650002446614103.
slurmstepd: error: *** JOB 2255620 ON kn055 CANCELLED AT 2026-02-26T04:49:46 DUE TO TIME LIMIT ***
