dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,test,302,0.8,0.95,837,371,1055,315,768,2124,2
IMDb-1k,test,140,0.8,0.95,881,413,1153,352,768,2444,2
IMDb-1k,test,228,0.8,0.95,1011,482,1312,441,768,2915,2
IMDb-1k,test,33,0.8,0.95,850,451,1102,317,768,2189,2
IMDb-1k,test,42,0.8,0.95,942,427,1266,437,768,3035,2
IMDb-1k,test,173,0.8,0.95,752,388,996,306,768,2096,2
IMDb-1k,test,124,0.8,0.95,948,458,1269,408,768,2903,2
IMDb-1k,test,330,0.8,0.95,902,468,1182,398,768,2776,2
IMDb-1k,test,46,0.8,0.95,869,387,1120,399,768,2672,2
IMDb-1k,test,73,0.8,0.95,967,450,1241,384,768,2768,2
IMDb-1k,test,179,0.8,0.95,965,443,1186,385,768,2773,2
IMDb-1k,test,45,0.8,0.95,1054,498,1398,469,768,3191,2
IMDb-1k,test,185,0.8,0.95,969,447,1219,363,768,2610,2
IMDb-1k,test,314,0.8,0.95,874,428,1188,357,768,2503,2
IMDb-1k,test,165,0.8,0.95,817,351,1041,307,768,2134,2
IMDb-1k,test,90,0.8,0.95,885,394,1172,384,768,2600,2
IMDb-1k,test,157,0.8,0.95,807,387,1018,342,768,2284,2
IMDb-1k,test,260,0.8,0.95,907,425,1302,421,768,2753,2
IMDb-1k,test,16,0.8,0.95,961,527,1314,459,768,3043,2
IMDb-1k,test,82,0.8,0.95,787,366,997,353,768,2351,2
IMDb-1k,test,132,0.8,0.95,748,346,900,312,768,2279,2
IMDb-1k,test,7,0.8,0.95,882,406,1096,328,768,2364,2
IMDb-1k,test,55,0.8,0.95,786,434,1041,304,768,2012,2
IMDb-1k,test,110,0.8,0.95,934,423,1235,360,768,2592,2
IMDb-1k,test,84,0.8,0.95,966,436,1309,427,768,2964,2
IMDb-1k,test,298,0.8,0.95,741,371,992,314,768,2045,2
IMDb-1k,test,294,0.8,0.95,965,382,1202,395,768,2861,2
IMDb-1k,test,116,0.8,0.95,901,475,1254,374,768,2659,2
IMDb-1k,test,78,0.8,0.95,789,367,1137,336,768,2238,2
IMDb-1k,test,244,0.8,0.95,760,383,967,295,768,2079,2
IMDb-1k,test,60,0.8,0.95,775,421,1041,353,768,2314,2
IMDb-1k,test,226,0.8,0.95,894,483,1232,373,768,2621,2
IMDb-1k,test,180,0.8,0.95,845,431,1130,370,768,2546,2
IMDb-1k,test,280,0.8,0.95,852,403,1116,341,768,2333,2
IMDb-1k,test,17,0.8,0.95,869,425,1151,366,768,2455,2
IMDb-1k,test,24,0.8,0.95,933,431,1294,436,768,2856,2
IMDb-1k,test,167,0.8,0.95,1130,546,1436,461,768,3263,2
