SLURM NODE: kn068
[I 2026-02-05 10:32:40,584] A new study created in RDB with name: IMDb-Fine-tuning
[I 2026-02-06 07:42:32,281] Trial 80 finished with value: 0.9172 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 79 with value: 0.9348.
[I 2026-02-06 07:56:36,997] Trial 81 finished with value: 0.921 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 1.0}. Best is trial 79 with value: 0.9348.
[I 2026-02-06 08:10:21,391] Trial 82 finished with value: 0.9264 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 79 with value: 0.9348.
[I 2026-02-06 08:28:00,612] Trial 83 finished with value: 0.9246 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 79 with value: 0.9348.
[I 2026-02-06 08:42:39,824] Trial 84 finished with value: 0.9252 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.4, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.1, 'gradient_clipping': 2.0}. Best is trial 79 with value: 0.9348.
[I 2026-02-06 08:56:24,062] Trial 85 finished with value: 0.924 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 79 with value: 0.9348.
[I 2026-02-06 09:10:07,317] Trial 86 finished with value: 0.924 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 2e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 79 with value: 0.9348.
[I 2026-02-06 09:24:43,111] Trial 87 finished with value: 0.9006 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 3e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.0}. Best is trial 79 with value: 0.9348.
[I 2026-02-06 09:39:21,753] Trial 88 finished with value: 0.92 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.05, 'gradient_clipping': 0.5}. Best is trial 79 with value: 0.9348.
[I 2026-02-06 09:53:23,157] Trial 89 finished with value: 0.9284 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 1.0}. Best is trial 79 with value: 0.9348.
[I 2026-02-06 10:07:42,731] Trial 90 finished with value: 0.905 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.0, 'gradient_clipping': 2.0}. Best is trial 79 with value: 0.9348.
[I 2026-02-06 10:28:14,628] Trial 91 finished with value: 0.9304 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 2.0}. Best is trial 79 with value: 0.9348.
[I 2026-02-06 10:47:01,967] Trial 92 finished with value: 0.919 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 79 with value: 0.9348.
[I 2026-02-06 11:01:41,707] Trial 93 finished with value: 0.9266 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 79 with value: 0.9348.
[I 2026-02-06 11:16:03,715] Trial 94 finished with value: 0.9274 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.3, 'learning_rate': 1e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 79 with value: 0.9348.
